NAME,VALUE
"bgali 22",12.8
"bgali 22",8.8
"bgali 22",6
"bgali 22",4
"bgali 22",10
"bgali 22",11.6
"bgali 22",7.8
"bgali 22",13.8
"bgali 22",7.4
"bgali 22",9.4
"bgali 22",13.2
"bgali 22",7.4
"bgali 22",8.8
"bgali 22",6
"bgali 22",5.2
"bgali 22",6.2
"bgali 22",9
"bgali 22",11
"bgali 22",6.8
"bgali 22",7.6
"bgali 12",13.8
"bgali 12",13
"bgali 12",11.2
"bgali 12",12
"bgali 12",10.4
"bgali 12",9
"bgali 12",8.2
"bgali 12",11
"bgali 12",10.8
"bgali 12",6.2
"bgali 12",8
"bgali 12",7.4
"bgali 12",7.4
"bgali 12",8.4
"bgali 12",8.4
"bgali 12",9
"bgali 12",7.4
"bgali 12",5.4
"bgali 13",10.6
"bgali 13",10.8
"bgali 13",9.8
"bgali 13",9.8
"bgali 13",8.8
"bgali 13",12
"bgali 13",11.8
"bgali 13",12
"bgali 13",9
"bgali 13",6.6
"bgali 13",6.4
"bgali 13",8.4
"bgali 13",10
"bgali 13",10.8
"bgali 13",7.8
"bgali 13",8
"bgali 13",8.2
"bgali 13",9.8
"bgali 13",12.8
"bgali 13",8
"bgali 13",6.4
"bgali 13",8.4
"bgali 13",7.4
"bgali 13",7.8
"bgali 13",6.2
"bgali 13",15.2
"bgali 13",7.8
"bgali 13",7.2
"bgali 13",7
"bgali 13",9.6
"bgali 13",7
"bgali 13",7
"bgali 13",12.6
"bgali 13",10.2
"bgali 13",9.2
"bgali 13",7.4
"bgali 13",9.6
"bgali 13",8.2
"bgali 13",8
"bgali 2",10.4
"bgali 2",11.8
"bgali 2",10.8
"bgali 2",6.2
"bgali 2",4
"bgali 2",5.6
"bgali 2",5.4
"bgali 2",4.6
"bgali 2",6.8
"bgali 2",4.2
"bgali 2",7
"bgali 2",4.8
